### Nedic
nedic;Nedic;Nedic;Nedic;;Nedic;;;;;;;;;x
imperial;Imperial;Imperial;Imperial;;Imperial;;;;;;;;;x
nibenean;Nibenean;Nibenean;Nibenean;;Nibenean;;;;;;;;;x
colovian;Colovian;Colovian;Colovian;;Colovian;;;;;;;;;x
nord;Nord;Nord;Nord;;Nord;;;;;;;;;x
skaal;Skaal;Skaal;Skaal;;Skaal;;;;;;;;;x
breton;Breton;Breton;Breton;;Breton;;;;;;;;;x
atmoran;Atmoran;;;;;;;;;;;;;x
reachmen;Reachmen;Reachmen;Reachmen;;Reachmen;;;;;;;;;x
cyronord;Cyro-Nord;Cyro-Nord;Cyro-Nord;;Cyro-Nord;;;;;;;;;x
### Yokudan
yokudan_group;Yokudan;Yokudan;Yokudan;;Yokudan;;;;;;;;;x
yokudan;Yokudan;;;;;;;;;;;;;x
forebear;Forebear;Forebear;Forebear;;Forebear;;;;;;;;;x
crown;Crown;Crown;Crown;;Crown;;;;;;;;;x
lhotunic;Lhotunic;;;;;;;;;;;;;x
### Aldmeris
aldmeris;Aldmeris;Aldmeris;Aldmeris;;Aldmeris;;;;;;;;;x
bosmer;Bosmer;Bosmer;Bosmer;;Bosmer;;;;;;;;;x
ayleid;Ayleid;;;;;;;;;;;;;x
altmer;Altmer;Altmer;Altmer;;Altmer;;;;;;;;;x
maormer;Maormer;Maormer;Maormer;;Maormer;;;;;;;;;x
falmer;Falmer;Falmer;Falmer;;Falmer;;;;;;;;;x
dwemer;Dwemer;Dwemer;Dwemer;;Dwemer;;;;;;;;;x
### Chimeris
chimeris;Chimeris;Chimeris;Chimeris;;Chimeris;;;;;;;;;x
orsimer;Orsimer;Orsimer;Orsimer;;Orsimer;;;;;;;;;x
ashlander;Ashlander;Ashlander;Ashlander;;Ashlander;;;;;;;;;x
dunmer;Dunmer;Dunmer;Dunmer;;Dunmer;;;;;;;;;x
chimer;Chimer;;;;;;;;;;;;;x
### Argonian
argonian;Saxhleel;;;;;;;;;;;;;x
agaceph;Agaceph;Agaceph;Agaceph;;Agaceph;;;;;;;;;x
archein;Archein;Archein;Archein;;Archein;;;;;;;;;x
paatru;Paatru;Paatru;Paatru;;Paatru;;;;;;;;;
sarpa;Sarpa;Sarpa;Sarpa;;Sarpa;;;;;;;;;
naga;Naga;Naga;Naga;;Naga;;;;;;;;;x
lukiul;Lukiul;;;;;;;;;;;;;x
### Khajiit
